day,temperatureMax,temperatureMin,daylight
2013-10-17,17.29,11.82,38141
2013-04-29,13.41,7.98,53039
2013-02-20,4.88,1.83,37185
2013-04-24,19.35,9.45,51950
2013-04-09,8.81,3.45,48534
2013-11-08,11.0,5.29,33329
2013-08-17,20.22,14.12,52230
2013-12-09,11.01,5.06,28664
2013-05-25,14.87,5.64,57840
2013-01-23,2.82,1.38,31345
2013-11-01,13.97,11.48,34791
2013-03-14,6.56,-0.91,42367
2013-05-06,20.99,10.48,54496
2013-05-27,17.28,6.32,58119
2013-10-27,15.87,11.66,35882
2013-05-13,14.06,7.45,55851
2013-08-07,21.49,14.97,54324
2013-10-05,17.94,13.67,40929
2013-09-22,18.84,14.25,43983
2013-01-10,3.43,1.16,29401
2013-10-11,13.16,8.66,39529
2013-03-26,1.75,0.77,45230
2013-01-03,11.41,9.65,28695
2013-10-29,12.38,6.86,35441
2013-10-10,11.82,7.6,39761
2013-02-08,5.59,0.81,34506
2013-04-11,11.3,5.93,48999
2013-10-28,16.06,9.0,35660
2013-07-31,23.56,16.49,55680
2013-05-02,16.96,5.43,53673
2013-04-20,13.14,2.88,51059
2013-08-20,23.53,12.16,51575
2013-10-22,18.03,13.79,37001
2013-08-26,24.32,16.37,50239
2013-07-14,27.83,17.28,58375
2013-12-17,7.4,4.61,28231
2013-10-23,16.53,9.99,36775
2013-11-05,12.39,4.41,33944
2013-02-18,7.65,1.16,36728
2013-10-25,18.47,13.16,36326
2013-07-27,27.28,14.82,56400
2013-06-11,16.96,8.16,59608
2013-02-13,3.09,0.6,35600
2013-02-02,5.56,1.48,33248
2013-06-15,16.27,11.01,59798
2013-10-20,17.04,12.16,37454
2013-02-10,4.73,1.06,34939
2013-01-29,13.09,9.76,32453
2013-05-10,17.17,10.2,55284
2013-05-21,16.22,12.01,57232
2013-04-02,7.71,0.04,46890
2013-08-27,22.78,12.82,50013
2013-02-03,9.12,0.11,33453
2013-07-01,19.78,13.89,59601
2013-03-01,6.62,2.58,39281
2013-02-15,9.76,2.27,36048
2013-09-16,14.08,8.24,45391
2013-10-31,13.11,11.61,35006
2013-07-12,23.92,12.01,58619
2013-10-04,20.82,15.23,41164
2013-01-24,2.23,-0.11,31522
2013-08-14,22.04,11.04,52873
2013-08-24,19.51,14.94,50688
2013-10-26,16.66,14.34,36103
2013-04-22,14.32,6.91,51507
2013-07-08,25.18,14.99,59049
2013-07-02,17.5,11.84,59539
2013-12-26,7.64,2.87,28234
2013-11-26,7.23,2.93,30140
2013-10-03,18.45,14.03,41398
2013-11-27,10.32,5.78,29997
2013-04-18,14.11,8.48,50607
2013-10-14,11.34,8.62,38832
2013-06-24,16.1,10.62,59876
2013-06-30,25.17,14.92,59659
2013-11-22,7.89,3.52,30755
2013-08-31,19.87,14.22,49103
2013-06-29,21.19,13.42,59709
2013-09-11,16.49,12.47,46561
2013-06-26,20.61,10.14,59828
2013-11-13,9.94,2.11,32346
2013-03-25,1.81,0.71,44992
2013-01-12,4.53,1.75,29651
2013-01-20,0.08,-1.45,30834
2013-04-25,22.08,11.38,52171
2013-08-11,22.76,15.42,53505
2013-11-11,12.63,2.53,32732
2013-01-14,2.94,-0.41,29920
2013-09-02,24.94,11.88,48644
2013-02-12,2.24,1.14,35379
2013-04-14,19.88,11.49,49692
2013-02-04,10.2,6.48,33659
2013-01-02,10.82,3.31,28617
2013-12-20,10.42,2.63,28173
2013-05-15,13.64,7.0,56215
2013-05-17,11.3,7.2,56567
2013-09-21,18.18,10.33,44218
2013-06-21,20.38,14.11,59905
2013-06-08,17.06,9.16,59405
2013-07-23,27.13,19.29,57074
2013-02-21,2.28,0.86,37415
2013-10-30,13.57,4.47,35223
2013-05-04,16.31,8.05,54089
2013-12-18,10.29,5.01,28205
2013-05-22,14.02,9.58,57390
2013-12-19,9.7,3.68,28186
2013-03-12,3.86,-1.89,41890
2013-10-07,18.57,10.37,40461
2013-08-16,21.66,16.98,52446
2013-10-21,17.53,13.26,37227
2013-04-27,10.36,4.02,52608
2013-06-13,17.59,12.96,59715
2013-10-02,19.02,13.62,41633
2013-08-02,24.64,17.41,55304
2013-05-08,16.81,11.33,54895
2013-10-12,14.17,8.46,39296
2013-05-05,17.79,6.87,54293
2013-09-17,13.7,8.19,45157
2013-01-19,0.85,-0.65,30672
2013-03-08,9.61,8.02,40938
2013-08-29,23.19,14.16,49559
2013-06-17,20.4,12.87,59858
2013-02-01,8.03,4.16,33046
2013-10-08,19.62,13.36,40227
2013-06-20,20.19,16.22,59903
2013-04-26,13.28,7.05,52390
2013-10-19,17.52,13.21,37683
2013-12-06,7.85,2.73,28925
2013-03-10,3.45,1.23,41414
2013-02-16,10.13,3.7,36273
2013-07-07,27.28,14.99,59144
2013-08-09,23.85,15.68,53919
2013-05-20,16.87,11.38,57071
2013-07-04,22.89,12.48,59398
2013-03-11,1.22,-1.57,41652
2013-03-30,4.87,0.94,46179
2013-04-16,16.55,9.63,50151
2013-11-25,7.29,4.54,30288
2013-03-18,7.35,-0.22,43322
2013-03-24,1.53,-0.32,44753
2013-05-09,14.28,7.28,55091
2013-03-06,13.14,7.65,40463
2013-07-16,29.2,17.03,58115
2013-02-11,1.88,0.55,35158
2013-03-28,4.08,-0.89,45705
2013-06-19,25.56,15.81,59894
2013-04-08,9.99,3.47,48300
2013-12-23,11.95,5.14,28174
2013-05-07,19.82,8.63,54696
2013-08-03,23.17,15.36,55112
2013-04-23,20.25,10.02,51729
2013-07-19,27.27,15.62,57691
2013-03-31,4.96,-1.54,46416
2013-02-17,9.49,2.16,36499
2013-11-30,8.38,3.53,29595
2013-01-22,2.82,-3.73,31171
2013-09-26,18.88,13.12,43042
2013-11-02,15.08,10.27,34577
2013-04-12,11.51,7.09,49230
2013-12-08,11.24,5.09,28745
2013-11-28,9.9,8.08,29859
2013-11-04,9.98,4.78,34153
2013-03-04,8.99,2.14,39990
2013-12-31,10.36,5.77,28462
2013-11-03,11.43,7.56,34364
2013-01-08,11.23,9.02,29172
2013-05-29,12.79,8.38,58382
2013-02-14,10.59,4.07,35823
2013-08-13,19.8,11.46,53086
2013-07-15,29.3,17.96,58248
2013-12-11,6.4,2.06,28519
2013-01-07,9.08,7.1,29066
2013-09-01,21.07,10.17,48875
2013-06-01,17.34,10.77,58741
2013-05-19,17.85,8.91,56906
2013-09-27,16.99,10.58,42808
2013-04-10,10.59,2.98,48766
2013-02-25,4.39,1.74,38344
2013-06-07,19.64,10.02,59325
2013-08-10,21.73,14.1,53713
2013-01-17,2.88,-3.86,30358
2013-03-20,5.87,2.37,43799
2013-09-29,17.36,13.44,42338
2013-12-02,9.42,6.59,29352
2013-09-15,15.36,6.72,45625
2013-09-10,16.65,9.38,46794
2013-02-06,6.16,2.86,34079
2013-11-29,10.18,6.56,29725
